Creil,87276006
Chantilly - Gouvieux,87276113
Orry-la-Ville - Coye,87276279
La Borne Blanche,87276287
Survilliers - Fosses,87276261
Louvres,87276253
Les Noues,87276238
Goussainville,87276246
Villiers-le-Bel - Gonesse - Arnouville,87276220
Garges - Sarcelles,87276196
Pierrefitte - Stains,87697326
Saint-Denis,87271015
Stade de France Saint-Denis,87164780
Paris Gare du Nord,87271031
Châtelet-les-Halles,87758607
Paris Gare de Lyon,87686006
Maisons-Alfort - Alfortville,87681155
Le Vert de Maisons,87681247
Créteil-Pompadour,87608802
Villeneuve-Triage,87681809
Villeneuve-Saint-Georges,87681825
Montgeron - Crosne,87682104
Yerres,87682112
Brunoy,87682120
Boussy-Saint-Antoine,87682138
Combs-la-Ville - Quincy,87682146
Lieusaint - Moissy,87682153
Savigny-le-Temple - Nandy,87682187
Cesson,87682161
Le Mée,87682179
Vigneux-sur-Seine,87681304
Juvisy,87545244
Viry-Châtillon,87681312
Ris-Orangis,87681338
Grand Bourg,87681353
Evry-Val-de-Seine,87681361
Grigny-Centre,87681379
Orangis - Bois de l'Epine,87681346
Evry - Courcouronnes Centre,87681387
Le Bras de Fer - Evry - Génopole,87681395
Corbeil-Essonnes,87681007
Essonnes - Robinson,87681601
Villabé,87681619
Le Plessis-Chenet,87681627
Le Coudray-Montceaux,87681635
Saint-Fargeau,87682542
Ponthierry - Pringy,87682526
Boissise-le-Roi,87682518
Vosves,87682500
Melun,87682005
Moulin-Galant,87681403
Mennecy,87681411
Ballancourt,87681437
La Ferté-Alais,87681452
Boutigny,87681478
Maisse,87681486
Buno - Gironville,87681510
Boigneville,87684407
Malesherbes,87684415
